album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Wolf,13,1UBLglX9fPtTBZSwJj4yVG,Parking Lot (feat. Casey Veggies & Mike G),spotify:track:1UBLglX9fPtTBZSwJj4yVG,0.0969,0.548,0.511,0,0.661,-10.424,0.274,80.747,0.483,48,"Tyler, the creator"
Wolf,14,4oQkcfukOHfKsmeoeXQLWC,Rusty (feat. Domo Genesis & Earl Sweatshirt),spotify:track:4oQkcfukOHfKsmeoeXQLWC,0.00529,0.495,0.677,0.000265,0.396,-5.646,0.25,81.478,0.375,53,"Tyler, the creator"
Wolf,15,2OaPyH3JLuft6iuNFHFJl0,"Trashwang (feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)",spotify:track:2OaPyH3JLuft6iuNFHFJl0,0.00807,0.633,0.607,0,0.257,-7.252,0.21,66.854,0.157,48,"Tyler, the creator"
Wolf,16,2vLwhcsvRd1f2ETft1kWDN,Treehome95 (feat. Coco Owino & Erykah Badu),spotify:track:2vLwhcsvRd1f2ETft1kWDN,0.217,0.721,0.539,0.00257,0.419,-8.726,0.362,81.971,0.377,51,"Tyler, the creator"
Wolf,17,60b6B2ULC85t4Y5IjZvP7A,Tamale,spotify:track:60b6B2ULC85t4Y5IjZvP7A,0.0557,0.742,0.93,0.00025,0.272,-7.207,0.0977,129.986,0.967,60,"Tyler, the creator"
Wolf,18,6oVFpdtDzSgRLv8rUgFVUW,Lone,spotify:track:6oVFpdtDzSgRLv8rUgFVUW,0.442,0.313,0.761,0,0.741,-8.509,0.266,162.606,0.591,49,"Tyler, the creator"
Cherry Bomb,1,1dXYBALYTj3AMxa8hgiQhA,DEATHCAMP (feat. Cole Alexander),spotify:track:1dXYBALYTj3AMxa8hgiQhA,0.0149,0.581,0.746,0.000276,0.594,-5.495,0.0422,101.881,0.455,55,"Tyler, the creator"
Cherry Bomb,2,1qkPQxOTLFmx3bwUOV8Kzw,BUFFALO (feat. Shane Powers),spotify:track:1qkPQxOTLFmx3bwUOV8Kzw,0.00457,0.346,0.824,0.000266,0.356,-5.054,0.134,169.002,0.116,48,"Tyler, the creator"
Cherry Bomb,3,332Yig3HD2IdDigzlf5Ndl,PILOT (feat. Sydney Bennett),spotify:track:332Yig3HD2IdDigzlf5Ndl,6.32E-05,0.596,0.869,0.0493,0.0476,-2.389,0.0621,109.995,0.545,47,"Tyler, the creator"
Cherry Bomb,4,586xfl7VsCFPD9z5iJoKEp,RUN (feat. Chaz Bundick & ScHoolboy Q),spotify:track:586xfl7VsCFPD9z5iJoKEp,0.00178,0.411,0.909,0,0.794,-5.234,0.169,145.966,0.473,43,"Tyler, the creator"
