album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Vol. 4,2,7gygnGtI9S3TE9Z5Yrqhig,Tomorrow's Dream (2009 - Remaster),spotify:track:7gygnGtI9S3TE9Z5Yrqhig,0.00763,0.503,0.693,0.000611,0.385,-9.495,0.0362,110.567,0.21,5,Black Sabbath
Vol. 4,3,2wNEcJHnFxoKZIrxjxF5jL,Changes (2009 - Remaster),spotify:track:2wNEcJHnFxoKZIrxjxF5jL,0.0685,0.155,0.319,5.26e-06,0.118,-9.968,0.0347,45.212,0.151,19,Black Sabbath
Vol. 4,4,3Y76xt18Een14InzWjXcb3,FX (2009 - Remaster),spotify:track:3Y76xt18Een14InzWjXcb3,0.989,0.526,0.093,0.935,0.0969,-27.064,0.0697,157.593,0.105,1,Black Sabbath
Vol. 4,5,03qx2RKyfJ4gPXMYvYN8Pt,Supernaut (2009 - Remaster),spotify:track:03qx2RKyfJ4gPXMYvYN8Pt,0.000816,0.392,0.83,0.00718,0.0985,-10.095,0.069,120.298,0.633,8,Black Sabbath
Vol. 4,6,0VfXQxbM0doaDw2fMI8Ima,Snowblind (2009 - Remaster),spotify:track:0VfXQxbM0doaDw2fMI8Ima,0.0013,0.433,0.797,0.000536,0.355,-9.466,0.0477,116.598,0.574,11,Black Sabbath
Vol. 4,7,327Ec0FooWSZMtVd7zPng2,Cornucopia (2009 - Remaster),spotify:track:327Ec0FooWSZMtVd7zPng2,0.331,0.322,0.444,0.000237,0.103,-11.786,0.0351,143.434,0.199,4,Black Sabbath
Vol. 4,8,2HuDXpZPIXiEQbFBUXqktZ,Laguna Sunrise (2009 - Remaster),spotify:track:2HuDXpZPIXiEQbFBUXqktZ,0.369,0.359,0.191,0.14,0.112,-17.148,0.0334,81.508,0.296,1,Black Sabbath
Vol. 4,9,2KzvrcvbF1vivbHpPthtB9,St. Vitus Dance (2009 - Remaster),spotify:track:2KzvrcvbF1vivbHpPthtB9,0.00176,0.366,0.477,0.018,0.156,-11.616,0.0279,150.181,0.718,1,Black Sabbath
Vol. 4,10,3Ot5N9GGKyybaylaNUmESl,Under the Sun (2009 - Remaster),spotify:track:3Ot5N9GGKyybaylaNUmESl,0.0612,0.277,0.526,0.00344,0.0932,-12.139,0.0397,66.629,0.472,5,Black Sabbath
Sabbath Bloody Sabbath,1,29KYPEsbcMcVKnd6iyu6Q5,Sabbath Bloody Sabbath (2009 - Remaster),spotify:track:29KYPEsbcMcVKnd6iyu6Q5,0.229,0.364,0.616,0.000194,0.0962,-8.162,0.0507,136.998,0.425,17,Black Sabbath
Sabbath Bloody Sabbath,2,6iJuDBangLQkI7cc9MdjPw,A National Acrobat (2009 - Remaster),spotify:track:6iJuDBangLQkI7cc9MdjPw,0.269,0.396,0.663,0.0139,0.19,-11.696,0.061,70.372,0.603,9,Black Sabbath
Sabbath Bloody Sabbath,3,4gUNTtPmsTzpTdJY3aZbLw,Fluff (2009 - Remaster),spotify:track:4gUNTtPmsTzpTdJY3aZbLw,0.801,0.493,0.236,0.968,0.107,-17.116,0.0358,127.262,0.376,3,Black Sabbath
Sabbath Bloody Sabbath,4,1qdXodVqWyuzRKMDzAz1Xe,Sabbra Cadabra (2009 - Remaster),spotify:track:1qdXodVqWyuzRKMDzAz1Xe,0.123,0.333,0.647,0.245,0.297,-12.267,0.0495,82.271,0.706,8,Black Sabbath
Sabbath Bloody Sabbath,5,1qykMIVb09E9dv6BylCUab,Killing Yourself to Live (2009 - Remaster),spotify:track:1qykMIVb09E9dv6BylCUab,0.000335,0.232,0.737,0.0289,0.257,-7.709,0.0479,80.145,0.407,6,Black Sabbath
Sabbath Bloody Sabbath,6,0nphlP8tsdRO2LKV5HtaIW,Who Are You? (2009 - Remaster),spotify:track:0nphlP8tsdRO2LKV5HtaIW,0.293,0.235,0.271,0.00627,0.143,-13.384,0.0313,109.899,0.115,3,Black Sabbath
Sabbath Bloody Sabbath,7,5AZQ7ekBzg4WqAcjOF9srW,Looking for Today (2009 - Remaster),spotify:track:5AZQ7ekBzg4WqAcjOF9srW,0.31,0.515,0.666,1.81e-05,0.547,-11.375,0.0393,129.893,0.677,1,Black Sabbath
Sabbath Bloody Sabbath,8,1ZzqTaeA2pmnxK2uXPU61S,Spiral Architect (2009 - Remaster),spotify:track:1ZzqTaeA2pmnxK2uXPU61S,0.00344,0.306,0.385,7.08e-05,0.167,-8.918,0.0318,143.362,0.0902,2,Black Sabbath
Technical Ecstasy,1,07bmStuZhMqJ0S5Z1IAqIS,Back Street Kids (2009 - Remaster),spotify:track:07bmStuZhMqJ0S5Z1IAqIS,0.164,0.439,0.941,0.172,0.425,-5.123,0.0895,136.001,0.444,0,Black Sabbath
Technical Ecstasy,2,6y68vqdS3x7O1DXhz6YpGQ,You Won't Change Me (2009 - Remaster),spotify:track:6y68vqdS3x7O1DXhz6YpGQ,0.187,0.194,0.816,0.00811,0.17,-6.088,0.0456,139.861,0.117,1,Black Sabbath
Technical Ecstasy,3,3UbbBnI212zbcABp1XwLNd,It's Alright (2009 - Remaster),spotify:track:3UbbBnI212zbcABp1XwLNd,0.34,0.334,0.725,0.00759,0.136,-8.203,0.0327,80.287,0.453,1,Black Sabbath
Technical Ecstasy,4,7EqJtCJT2qcUriQ74LgIg3,Gypsy (2009 - Remaster),spotify:track:7EqJtCJT2qcUriQ74LgIg3,0.04,0.382,0.809,0.38,0.0953,-5.491,0.0343,122.562,0.423,0,Black Sabbath
Technical Ecstasy,5,68pn6xrOzjpeiRcOVuRA6m,All Moving Parts (Stand Still) (2009 - Remaster),spotify:track:68pn6xrOzjpeiRcOVuRA6m,0.147,0.21,0.867,0.627,0.0593,-5.721,0.0593,166.293,0.686,0,Black Sabbath
Technical Ecstasy,6,6Ee0lLwmZOmb6a6PDEYzV6,Rock 'N' Roll Doctor (2009 - Remaster),spotify:track:6Ee0lLwmZOmb6a6PDEYzV6,0.369,0.396,0.969,0.0417,0.33,-4.555,0.0721,128.889,0.443,0,Black Sabbath
Technical Ecstasy,7,3OTuk8HnFNJVgUkbH84IQu,She's Gone (2009 - Remaster),spotify:track:3OTuk8HnFNJVgUkbH84IQu,0.727,0.464,0.289,0.000662,0.123,-11.531,0.0265,98.564,0.0702,1,Black Sabbath
Technical Ecstasy,8,2sZSoZPZjsuI5WdgIgja1V,Dirty Women (2009 - Remaster),spotify:track:2sZSoZPZjsuI5WdgIgja1V,0.0184,0.236,0.793,0.743,0.0735,-8.755,0.055,119.555,0.467,1,Black Sabbath
Never Say Die!,1,42aY1pEcjp3GWENE6LUPnx,Never Say Die (2009 - Remaster),spotify:track:42aY1pEcjp3GWENE6LUPnx,0.000116,0.318,0.668,0.143,0.145,-8.875,0.0321,97.408,0.379,5,Black Sabbath
Never Say Die!,2,2P86gmUBBsPDkCBU7XA25g,Johnny Blade (2009 - Remaster),spotify:track:2P86gmUBBsPDkCBU7XA25g,0.000285,0.204,0.883,0.00353,0.0667,-5.254,0.0474,147.4,0.503,1,Black Sabbath
Never Say Die!,3,0hDOC0xEIdIlNCpqEFntqq,Junior's Eyes (2009 - Remaster),spotify:track:0hDOC0xEIdIlNCpqEFntqq,0.00298,0.462,0.889,0.44,0.203,-5.707,0.0415,125.118,0.612,1,Black Sabbath
Never Say Die!,4,3xx00sNjKzUEQTKKtusd2u,A Hard Road (2009 - Remaster),spotify:track:3xx00sNjKzUEQTKKtusd2u,2.22e-05,0.3,0.763,0.56,0.0722,-10.444,0.0378,126.683,0.418,0,Black Sabbath
Never Say Die!,5,2FF4CJKB9LyRN5b22iNiKq,Shock Wave (2009 - Remaster),spotify:track:2FF4CJKB9LyRN5b22iNiKq,0.00338,0.352,0.94,6.56e-05,0.114,-4.314,0.0572,132.145,0.502,0,Black Sabbath
Never Say Die!,6,4NuihFxwOYEiWG2LaWzR1W,Air Dance (2009 - Remaster),spotify:track:4NuihFxwOYEiWG2LaWzR1W,0.266,0.335,0.533,0.292,0.0858,-6.833,0.0274,113.58,0.459,0,Black Sabbath
Never Say Die!,7,0mf2bwgS0JlL425FqLWkp6,Over to You (2009 - Remaster),spotify:track:0mf2bwgS0JlL425FqLWkp6,0.0011,0.158,0.548,0.00033,0.063,-5.67,0.0331,205.322,0.421,0,Black Sabbath
Never Say Die!,8,77JrHaXsxcufEjh5mfMmR3,Breakout (2009 - Remaster),spotify:track:77JrHaXsxcufEjh5mfMmR3,0.0587,0.267,0.633,0.91,0.774,-5.414,0.0388,115.757,0.34,0,Black Sabbath
Never Say Die!,9,3UplFlxzKSnNTuSvseQqBR,Swinging the Chain (2009 - Remaster),spotify:track:3UplFlxzKSnNTuSvseQqBR,0.00966,0.18,0.877,0.00518,0.431,-4.338,0.0558,104.326,0.314,0,Black Sabbath
Live At Last,1,6H8Bde9XSmT6ZfUOFfzOSn,Tomorrow's Dream (Live),spotify:track:6H8Bde9XSmT6ZfUOFfzOSn,0.00224,0.398,0.832,0.309,0.951,-10.953,0.0531,120.228,0.483,0,Black Sabbath
Live At Last,2,5X7Vrqm6UgZvc3CwulTJT2,Sweet Leaf (Live),spotify:track:5X7Vrqm6UgZvc3CwulTJT2,0.000841,0.428,0.724,0.254,0.66,-11.729,0.0428,123.112,0.461,0,Black Sabbath
Live At Last,3,1Zi599j4PW3zCXKmMEqEpj,Killing Yourself to Live (Live),spotify:track:1Zi599j4PW3zCXKmMEqEpj,0.00023,0.243,0.772,0.0393,0.985,-11.026,0.056,134.264,0.275,0,Black Sabbath
Live At Last,4,3XvZ0AvNrul5H99BP3uq7n,Cornucopia (Live),spotify:track:3XvZ0AvNrul5H99BP3uq7n,0.00012,0.136,0.68,0.113,0.851,-12.521,0.0558,71.489,0.337,0,Black Sabbath
Live At Last,5,1Gun95U6cN0ClMBwWLCyWA,Snowblind (Live),spotify:track:1Gun95U6cN0ClMBwWLCyWA,0.000661,0.409,0.781,0.176,0.245,-12.545,0.0446,119.955,0.493,0,Black Sabbath
Live At Last,6,2MLYrbfTBjwVCgpon1jxoA,Children of the Grave (Live),spotify:track:2MLYrbfTBjwVCgpon1jxoA,0.000451,0.185,0.689,0.0111,0.594,-13.442,0.0463,166.298,0.273,0,Black Sabbath
Live At Last,7,3pWkSRYd0BEgR45Txs1xzL,War Pigs (Live),spotify:track:3pWkSRYd0BEgR45Txs1xzL,0.0605,0.289,0.783,0.0164,0.978,-12.803,0.0723,102.188,0.283,0,Black Sabbath
Live At Last,8,17Fr2X87uvtvo6B0WkkFWl,Wicked World (Live),spotify:track:17Fr2X87uvtvo6B0WkkFWl,0.00806,0.362,0.665,0.375,0.968,-13.101,0.0959,127.384,0.49,0,Black Sabbath
Live At Last,9,5CNx3wx0Qv6QvD6vnGt41X,Paranoid (Live),spotify:track:5CNx3wx0Qv6QvD6vnGt41X,7.59e-05,0.336,0.903,0.0415,0.94,-11.193,0.0584,94.17,0.435,0,Black Sabbath
Born Again (Deluxe Edition),1,3QiP0k7zrnNhPQqMWkyxgT,Trashed,spotify:track:3QiP0k7zrnNhPQqMWkyxgT,0.00575,0.181,0.808,0.000414,0.139,-10.722,0.115,171.547,0.439,0,Black Sabbath
Born Again (Deluxe Edition),2,7JuHOvF4baFQsaHnfTG5uY,Stonehenge,spotify:track:7JuHOvF4baFQsaHnfTG5uY,0.913,0.14,0.135,0.922,0.105,-29.684,0.047,71.344,0.0483,0,Black Sabbath
Born Again (Deluxe Edition),3,7vEiAcBURerrNScwEzsqwO,Disturbing the Priest,spotify:track:7vEiAcBURerrNScwEzsqwO,0.0217,0.211,0.568,0.0084,0.0561,-13.701,0.0414,182.978,0.323,0,Black Sabbath
Born Again (Deluxe Edition),4,60Hd79yQThIJ3LRJBGOlI5,The Dark,spotify:track:60Hd79yQThIJ3LRJBGOlI5,0.897,0.265,0.111,0.908,0.47,-25.276,0.0722,80.96,0.189,0,Black Sabbath
Born Again (Deluxe Edition),5,2Rl6RZZdUzBUgfMbLeBEIo,Zero the Hero,spotify:track:2Rl6RZZdUzBUgfMbLeBEIo,0.0478,0.312,0.669,0.000893,0.143,-12.797,0.0368,79.553,0.403,0,Black Sabbath
Born Again (Deluxe Edition),6,5lNEn81j2r1uY0jScWW5wI,Digital Bitch,spotify:track:5lNEn81j2r1uY0jScWW5wI,0.0112,0.182,0.859,0.746,0.102,-11.419,0.111,183.896,0.408,0,Black Sabbath
Born Again (Deluxe Edition),7,3hHVqK9G3jgrcaWzLsWQZj,Born Again,spotify:track:3hHVqK9G3jgrcaWzLsWQZj,0.203,0.303,0.479,0.000933,0.126,-12.98,0.0367,106.619,0.267,0,Black Sabbath
Born Again (Deluxe Edition),8,218rdubMlfGicsewvngIE5,Hot Line,spotify:track:218rdubMlfGicsewvngIE5,3.51e-05,0.356,0.759,0.0545,0.268,-11.664,0.0585,131.026,0.355,0,Black Sabbath
Born Again (Deluxe Edition),9,6CiBkrlniTtm4cdmxJiC57,Keep It Warm,spotify:track:6CiBkrlniTtm4cdmxJiC57,0.000341,0.254,0.706,0.0114,0.0898,-12.471,0.0711,132.171,0.418,0,Black Sabbath
Born Again (Deluxe Edition),1,37WGjQtGkwoXDWIXD8hd6o,The Fallen,spotify:track:37WGjQtGkwoXDWIXD8hd6o,0.000328,0.277,0.658,0.0294,0.178,-13.918,0.0653,126.119,0.341,0,Black Sabbath
